4 ingredients
Candy, Chocolate, Sprinkles, Sugar

Part 1
Score: 18  Recipe: [('Candy', 3), ('Chocolate', 5), ('Sprinkles', 1), ('Sugar', 3)]
Score: 39744  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 9), ('Sugar', 19)]
Score: 47520  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 9), ('Sugar', 20)]
Score: 51408  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 9), ('Sugar', 21)]
Score: 51408  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 9), ('Sugar', 22)]
Score: 47520  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 9), ('Sugar', 23)]
Score: 39744  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 9), ('Sugar', 24)]
Score: 28080  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 9), ('Sugar', 25)]
Score: 12528  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 9), ('Sugar', 26)]
Score: 12480  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 10), ('Sugar', 18)]
Score: 27600  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 10), ('Sugar', 19)]
Score: 38400  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 10), ('Sugar', 20)]
Score: 44880  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 10), ('Sugar', 21)]
Score: 47040  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 10), ('Sugar', 22)]
Score: 44880  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 10), ('Sugar', 23)]
Score: 38400  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 10), ('Sugar', 24)]
Score: 27600  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 10), ('Sugar', 25)]
Score: 12480  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 10), ('Sugar', 26)]
Score: 12144  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 11), ('Sugar', 19)]
Score: 26400  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 11), ('Sugar', 20)]
Score: 35904  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 11), ('Sugar', 21)]
Score: 40656  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 11), ('Sugar', 22)]
Score: 40656  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 11), ('Sugar', 23)]
Score: 35904  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 11), ('Sugar', 24)]
Score: 26400  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 11), ('Sugar', 25)]
Score: 12144  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 11), ('Sugar', 26)]
Score: 11520  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 12), ('Sugar', 20)]
Score: 24480  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 12), ('Sugar', 21)]
Score: 32256  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 12), ('Sugar', 22)]
Score: 34848  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 12), ('Sugar', 23)]
Score: 32256  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 12), ('Sugar', 24)]
Score: 24480  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 12), ('Sugar', 25)]
Score: 11520  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 12), ('Sugar', 26)]
Score: 10608  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 13), ('Sugar', 21)]
Score: 21840  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 13), ('Sugar', 22)]
Score: 27456  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 13), ('Sugar', 23)]
Score: 27456  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 13), ('Sugar', 24)]
Score: 21840  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 13), ('Sugar', 25)]
Score: 9408  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 14), ('Sugar', 22)]
Score: 18480  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 14), ('Sugar', 23)]
Score: 21504  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 14), ('Sugar', 24)]
Score: 7920  Recipe: [('Candy', 22), ('Chocolate', 40), ('Sprinkles', 15), ('Sugar', 23)]
Score: 1980  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 1), ('Sugar', 9)]
Score: 4680  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 1), ('Sugar', 10)]
Score: 7056  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 1), ('Sugar', 11)]
Score: 9108  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 1), ('Sugar', 12)]
Score: 10836  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 1), ('Sugar', 13)]
Score: 12240  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 1), ('Sugar', 14)]
Score: 13320  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 1), ('Sugar', 15)]
Score: 14076  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 1), ('Sugar', 16)]
Score: 14508  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 1), ('Sugar', 17)]
Score: 14616  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 1), ('Sugar', 18)]
Score: 14400  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 1), ('Sugar', 19)]
Score: 13860  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 1), ('Sugar', 20)]
Score: 12996  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 1), ('Sugar', 21)]
Score: 11808  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 1), ('Sugar', 22)]
Score: 10296  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 1), ('Sugar', 23)]
Score: 8460  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 1), ('Sugar', 24)]
Score: 6300  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 1), ('Sugar', 25)]
Score: 3816  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 1), ('Sugar', 26)]
Score: 1008  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 1), ('Sugar', 27)]
Score: 3744  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 2), ('Sugar', 10)]
Score: 8820  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 2), ('Sugar', 11)]
Score: 13248  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 2), ('Sugar', 12)]
Score: 17028  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 2), ('Sugar', 13)]
Score: 20160  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 2), ('Sugar', 14)]
Score: 22644  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 2), ('Sugar', 15)]
Score: 24480  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 2), ('Sugar', 16)]
Score: 25668  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 2), ('Sugar', 17)]
Score: 26208  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 2), ('Sugar', 18)]
Score: 26100  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 2), ('Sugar', 19)]
Score: 25344  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 2), ('Sugar', 20)]
Score: 23940  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 2), ('Sugar', 21)]
Score: 21888  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 2), ('Sugar', 22)]
Score: 19188  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 2), ('Sugar', 23)]
Score: 15840  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 2), ('Sugar', 24)]
Score: 11844  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 2), ('Sugar', 25)]
Score: 7200  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 2), ('Sugar', 26)]
Score: 1908  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 2), ('Sugar', 27)]
Score: 5292  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 3), ('Sugar', 11)]
Score: 12420  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 3), ('Sugar', 12)]
Score: 18576  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 3), ('Sugar', 13)]
Score: 23760  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 3), ('Sugar', 14)]
Score: 27972  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 3), ('Sugar', 15)]
Score: 31212  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 3), ('Sugar', 16)]
Score: 33480  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 3), ('Sugar', 17)]
Score: 34776  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 3), ('Sugar', 18)]
Score: 35100  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 3), ('Sugar', 19)]
Score: 34452  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 3), ('Sugar', 20)]
Score: 32832  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 3), ('Sugar', 21)]
Score: 30240  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 3), ('Sugar', 22)]
Score: 26676  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 3), ('Sugar', 23)]
Score: 22140  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 3), ('Sugar', 24)]
Score: 16632  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 3), ('Sugar', 25)]
Score: 10152  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 3), ('Sugar', 26)]
Score: 2700  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 3), ('Sugar', 27)]
Score: 6624  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 4), ('Sugar', 12)]
Score: 15480  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 4), ('Sugar', 13)]
Score: 23040  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 4), ('Sugar', 14)]
Score: 29304  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 4), ('Sugar', 15)]
Score: 34272  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 4), ('Sugar', 16)]
Score: 37944  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 4), ('Sugar', 17)]
Score: 40320  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 4), ('Sugar', 18)]
Score: 41400  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 4), ('Sugar', 19)]
Score: 41184  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 4), ('Sugar', 20)]
Score: 39672  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 4), ('Sugar', 21)]
Score: 36864  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 4), ('Sugar', 22)]
Score: 32760  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 4), ('Sugar', 23)]
Score: 27360  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 4), ('Sugar', 24)]
Score: 20664  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 4), ('Sugar', 25)]
Score: 12672  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 4), ('Sugar', 26)]
Score: 3384  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 4), ('Sugar', 27)]
Score: 7740  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 5), ('Sugar', 13)]
Score: 18000  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 5), ('Sugar', 14)]
Score: 26640  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 5), ('Sugar', 15)]
Score: 33660  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 5), ('Sugar', 16)]
Score: 39060  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 5), ('Sugar', 17)]
Score: 42840  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 5), ('Sugar', 18)]
Score: 45000  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 5), ('Sugar', 19)]
Score: 45540  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 5), ('Sugar', 20)]
Score: 44460  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 5), ('Sugar', 21)]
Score: 41760  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 5), ('Sugar', 22)]
Score: 37440  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 5), ('Sugar', 23)]
Score: 31500  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 5), ('Sugar', 24)]
Score: 23940  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 5), ('Sugar', 25)]
Score: 14760  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 5), ('Sugar', 26)]
Score: 3960  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 5), ('Sugar', 27)]
Score: 8640  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 6), ('Sugar', 14)]
Score: 19980  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 6), ('Sugar', 15)]
Score: 29376  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 6), ('Sugar', 16)]
Score: 36828  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 6), ('Sugar', 17)]
Score: 42336  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 6), ('Sugar', 18)]
Score: 45900  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 6), ('Sugar', 19)]
Score: 47520  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 6), ('Sugar', 20)]
Score: 47196  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 6), ('Sugar', 21)]
Score: 44928  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 6), ('Sugar', 22)]
Score: 40716  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 6), ('Sugar', 23)]
Score: 34560  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 6), ('Sugar', 24)]
Score: 26460  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 6), ('Sugar', 25)]
Score: 16416  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 6), ('Sugar', 26)]
Score: 4428  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 6), ('Sugar', 27)]
Score: 9324  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 7), ('Sugar', 15)]
Score: 21420  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 7), ('Sugar', 16)]
Score: 31248  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 7), ('Sugar', 17)]
Score: 38808  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 7), ('Sugar', 18)]
Score: 44100  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 7), ('Sugar', 19)]
Score: 47124  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 7), ('Sugar', 20)]
Score: 47880  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 7), ('Sugar', 21)]
Score: 46368  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 7), ('Sugar', 22)]
Score: 42588  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 7), ('Sugar', 23)]
Score: 36540  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 7), ('Sugar', 24)]
Score: 28224  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 7), ('Sugar', 25)]
Score: 17640  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 7), ('Sugar', 26)]
Score: 4788  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 7), ('Sugar', 27)]
Score: 9792  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 8), ('Sugar', 16)]
Score: 22320  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 8), ('Sugar', 17)]
Score: 32256  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 8), ('Sugar', 18)]
Score: 39600  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 8), ('Sugar', 19)]
Score: 44352  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 8), ('Sugar', 20)]
Score: 46512  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 8), ('Sugar', 21)]
Score: 46080  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 8), ('Sugar', 22)]
Score: 43056  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 8), ('Sugar', 23)]
Score: 37440  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 8), ('Sugar', 24)]
Score: 29232  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 8), ('Sugar', 25)]
Score: 18432  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 8), ('Sugar', 26)]
Score: 5040  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 8), ('Sugar', 27)]
Score: 10044  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 9), ('Sugar', 17)]
Score: 22680  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 9), ('Sugar', 18)]
Score: 32400  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 9), ('Sugar', 19)]
Score: 39204  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 9), ('Sugar', 20)]
Score: 43092  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 9), ('Sugar', 21)]
Score: 44064  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 9), ('Sugar', 22)]
Score: 42120  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 9), ('Sugar', 23)]
Score: 37260  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 9), ('Sugar', 24)]
Score: 29484  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 9), ('Sugar', 25)]
Score: 18792  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 9), ('Sugar', 26)]
Score: 5184  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 9), ('Sugar', 27)]
Score: 10080  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 10), ('Sugar', 18)]
Score: 22500  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 10), ('Sugar', 19)]
Score: 31680  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 10), ('Sugar', 20)]
Score: 37620  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 10), ('Sugar', 21)]
Score: 40320  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 10), ('Sugar', 22)]
Score: 39780  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 10), ('Sugar', 23)]
Score: 36000  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 10), ('Sugar', 24)]
Score: 28980  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 10), ('Sugar', 25)]
Score: 18720  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 10), ('Sugar', 26)]
Score: 5220  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 10), ('Sugar', 27)]
Score: 9900  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 11), ('Sugar', 19)]
Score: 21780  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 11), ('Sugar', 20)]
Score: 30096  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 11), ('Sugar', 21)]
Score: 34848  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 11), ('Sugar', 22)]
Score: 36036  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 11), ('Sugar', 23)]
Score: 33660  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 11), ('Sugar', 24)]
Score: 27720  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 11), ('Sugar', 25)]
Score: 18216  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 11), ('Sugar', 26)]
Score: 9504  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 12), ('Sugar', 20)]
Score: 20520  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 12), ('Sugar', 21)]
Score: 27648  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 12), ('Sugar', 22)]
Score: 30888  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 12), ('Sugar', 23)]
Score: 30240  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 12), ('Sugar', 24)]
Score: 25704  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 12), ('Sugar', 25)]
Score: 8892  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 13), ('Sugar', 21)]
Score: 18720  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 13), ('Sugar', 22)]
Score: 24336  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 13), ('Sugar', 23)]
Score: 25740  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 13), ('Sugar', 24)]
Score: 8064  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 14), ('Sugar', 22)]
Score: 16380  Recipe: [('Candy', 22), ('Chocolate', 41), ('Sprinkles', 14), ('Sugar', 23)]
Score: 1368  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 1), ('Sugar', 9)]
Score: 3240  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 1), ('Sugar', 10)]
Score: 4896  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 1), ('Sugar', 11)]
Score: 6336  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 1), ('Sugar', 12)]
Score: 7560  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 1), ('Sugar', 13)]
Score: 8568  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 1), ('Sugar', 14)]
Score: 9360  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 1), ('Sugar', 15)]
Score: 9936  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 1), ('Sugar', 16)]
Score: 10296  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 1), ('Sugar', 17)]
Score: 10440  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 1), ('Sugar', 18)]
Score: 10368  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 1), ('Sugar', 19)]
Score: 10080  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 1), ('Sugar', 20)]
Score: 9576  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 1), ('Sugar', 21)]
Score: 8856  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 1), ('Sugar', 22)]
Score: 7920  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 1), ('Sugar', 23)]
Score: 6768  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 1), ('Sugar', 24)]
Score: 5400  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 1), ('Sugar', 25)]
Score: 3816  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 1), ('Sugar', 26)]
Score: 2016  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 1), ('Sugar', 27)]
Score: 2592  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 2), ('Sugar', 10)]
Score: 6120  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 2), ('Sugar', 11)]
Score: 9216  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 2), ('Sugar', 12)]
Score: 11880  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 2), ('Sugar', 13)]
Score: 14112  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 2), ('Sugar', 14)]
Score: 15912  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 2), ('Sugar', 15)]
Score: 17280  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 2), ('Sugar', 16)]
Score: 18216  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 2), ('Sugar', 17)]
Score: 18720  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 2), ('Sugar', 18)]
Score: 18792  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 2), ('Sugar', 19)]
Score: 18432  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 2), ('Sugar', 20)]
Score: 17640  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 2), ('Sugar', 21)]
Score: 16416  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 2), ('Sugar', 22)]
Score: 14760  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 2), ('Sugar', 23)]
Score: 12672  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 2), ('Sugar', 24)]
Score: 10152  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 2), ('Sugar', 25)]
Score: 7200  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 2), ('Sugar', 26)]
Score: 3816  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 2), ('Sugar', 27)]
Score: 3672  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 3), ('Sugar', 11)]
Score: 8640  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 3), ('Sugar', 12)]
Score: 12960  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 3), ('Sugar', 13)]
Score: 16632  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 3), ('Sugar', 14)]
Score: 19656  Recipe: [('Candy', 22), ('Chocolate', 42), ('Sprinkles', 3), ('Sugar', 15)]
